Serial setup.
Timer 1 setup for 25 kHz PWM.
Tachometer setup.
Timer 1 setup for control loop.
Fan OFF.
Fan ON.
Fan OFF.
Fan ON.
Fan OFF.
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 269,	 pwm = 84,	 tach = 0
A1 = 268,	 pwm = 83,	 tach = 0
